,poemId,poemFullTitle,poemFullUrl,audioTitle,audioArtist,recitationId,gender
121,9627,سعدی » دیوان اشعار » غزلیات » غزل شمارهٔ  ۳۰۵,/saadi/divan/ghazals/sh305,غزل شمارهٔ  ۳۰۵,افسر آریا,25171,F
122,9611,سعدی » دیوان اشعار » غزلیات » غزل شمارهٔ  ۲۸۹,/saadi/divan/ghazals/sh289,غزل شمارهٔ  ۲۸۹,افسر آریا,27411,F
123,9641,سعدی » دیوان اشعار » غزلیات » غزل شمارهٔ  ۳۱۹,/saadi/divan/ghazals/sh319,غزل شمارهٔ  ۳۱۹,افسر آریا,23197,F
124,9726,سعدی » دیوان اشعار » غزلیات » غزل شمارهٔ  ۴۰۴,/saadi/divan/ghazals/sh404,غزل شمارهٔ  ۴۰۴,افسر آریا,25174,F
125,9723,سعدی » دیوان اشعار » غزلیات » غزل شمارهٔ  ۴۰۱,/saadi/divan/ghazals/sh401,غزل شمارهٔ  ۴۰۱,افسر آریا,23754,F
126,9722,سعدی » دیوان اشعار » غزلیات » غزل شمارهٔ  ۴۰۰,/saadi/divan/ghazals/sh400,غزل شمارهٔ  ۴۰۰,افسر آریا,23755,F
127,9724,سعدی » دیوان اشعار » غزلیات » غزل شمارهٔ  ۴۰۲,/saadi/divan/ghazals/sh402,غزل شمارهٔ  ۴۰۲,افسر آریا,25172,F
128,9725,سعدی » دیوان اشعار » غزلیات » غزل شمارهٔ  ۴۰۳,/saadi/divan/ghazals/sh403,غزل شمارهٔ  ۴۰۳,افسر آریا,25173,F
129,9745,سعدی » دیوان اشعار » غزلیات » غزل شمارهٔ  ۴۲۳,/saadi/divan/ghazals/sh423,غزل شمارهٔ  ۴۲۳,افسر آریا,23212,F
130,9761,سعدی » دیوان اشعار » غزلیات » غزل شمارهٔ  ۴۳۹,/saadi/divan/ghazals/sh439,غزل شمارهٔ  ۴۳۹,افسر آریا,28497,F
131,9769,سعدی » دیوان اشعار » غزلیات » غزل شمارهٔ  ۴۴۷,/saadi/divan/ghazals/sh447,غزل شمارهٔ  ۴۴۷,افسر آریا,26339,F
132,9822,سعدی » دیوان اشعار » غزلیات » غزل شمارهٔ  ۵۰۰,/saadi/divan/ghazals/sh500,غزل شمارهٔ  ۵۰۰,افسر آریا,23291,F
133,9826,سعدی » دیوان اشعار » غزلیات » غزل شمارهٔ  ۵۰۴,/saadi/divan/ghazals/sh504,غزل شمارهٔ  ۵۰۴,افسر آریا,23806,F
134,9827,سعدی » دیوان اشعار » غزلیات » غزل شمارهٔ  ۵۰۵,/saadi/divan/ghazals/sh505,غزل شمارهٔ  ۵۰۵,افسر آریا,23807,F
135,9828,سعدی » دیوان اشعار » غزلیات » غزل شمارهٔ  ۵۰۶,/saadi/divan/ghazals/sh506,غزل شمارهٔ  ۵۰۶,افسر آریا,23860,F
136,9825,سعدی » دیوان اشعار » غزلیات » غزل شمارهٔ  ۵۰۳,/saadi/divan/ghazals/sh503,غزل شمارهٔ  ۵۰۳,افسر آریا,23294,F
137,9823,سعدی » دیوان اشعار » غزلیات » غزل شمارهٔ  ۵۰۱,/saadi/divan/ghazals/sh501,غزل شمارهٔ  ۵۰۱,افسر آریا,23292,F
138,9824,سعدی » دیوان اشعار » غزلیات » غزل شمارهٔ  ۵۰۲,/saadi/divan/ghazals/sh502,غزل شمارهٔ  ۵۰۲,افسر آریا,23293,F
139,9839,سعدی » دیوان اشعار » غزلیات » غزل شمارهٔ  ۵۱۷,/saadi/divan/ghazals/sh517,غزل شمارهٔ  ۵۱۷,افسر آریا,23295,F
140,9829,سعدی » دیوان اشعار » غزلیات » غزل شمارهٔ  ۵۰۷,/saadi/divan/ghazals/sh507,غزل شمارهٔ  ۵۰۷,افسر آریا,23861,F
141,9843,سعدی » دیوان اشعار » غزلیات » غزل شمارهٔ  ۵۲۱,/saadi/divan/ghazals/sh521,غزل شمارهٔ  ۵۲۱,افسر آریا,23951,F
142,9832,سعدی » دیوان اشعار » غزلیات » غزل شمارهٔ  ۵۱۰,/saadi/divan/ghazals/sh510,غزل شمارهٔ  ۵۱۰,افسر آریا,23950,F
143,9830,سعدی » دیوان اشعار » غزلیات » غزل شمارهٔ  ۵۰۸,/saadi/divan/ghazals/sh508,غزل شمارهٔ  ۵۰۸,افسر آریا,23862,F
144,9922,سعدی » دیوان اشعار » غزلیات » غزل شمارهٔ  ۶۰۰,/saadi/divan/ghazals/sh600,غزل شمارهٔ  ۶۰۰,افسر آریا,23390,F
145,9930,سعدی » دیوان اشعار » غزلیات » غزل شمارهٔ  ۶۰۸,/saadi/divan/ghazals/sh608,غزل شمارهٔ  ۶۰۸,افسر آریا,23774,F
146,9923,سعدی » دیوان اشعار » غزلیات » غزل شمارهٔ  ۶۰۱,/saadi/divan/ghazals/sh601,غزل شمارهٔ  ۶۰۱,افسر آریا,23391,F
