poemId,poemFullTitle,poemFullUrl,audioTitle,audioArtist,recitationId
2926,مولانا » دیوان شمس » غزلیات » غزل شمارهٔ ۳۰۲,/moulavi/shams/ghazalsh/sh302,غزل شمارهٔ ۳۰۲,اهورا هورخش,12440
2926,مولانا » دیوان شمس » غزلیات » غزل شمارهٔ ۳۰۲,/moulavi/shams/ghazalsh/sh302,غزل شمارهٔ ۳۰۲,افسر آریا,28792
2926,مولانا » دیوان شمس » غزلیات » غزل شمارهٔ ۳۰۲,/moulavi/shams/ghazalsh/sh302,غزل شمارهٔ ۳۰۲,فاطمه زندی,29115
2926,مولانا » دیوان شمس » غزلیات » غزل شمارهٔ ۳۰۲,/moulavi/shams/ghazalsh/sh302,غزل شمارهٔ ۳۰۲,آرش خیرآبادی,29288
3146,مولانا » دیوان شمس » غزلیات » غزل شمارهٔ ۵۲۲,/moulavi/shams/ghazalsh/sh522,غزل شمارهٔ ۵۲۲,عندلیب,13354
1284,خیام » رباعیات » رباعی شمارهٔ ۱۶۶,/khayyam/robaee/sh166,رباعی شمارهٔ ۱۶۶,داوود ملک زاده,1679
1284,خیام » رباعیات » رباعی شمارهٔ ۱۶۶,/khayyam/robaee/sh166,رباعی شمارهٔ ۱۶۶,زهرا بهمنی,16152
1284,خیام » رباعیات » رباعی شمارهٔ ۱۶۶,/khayyam/robaee/sh166,رباعی شمارهٔ ۱۶۶,نازنین بازیان,21534
1284,خیام » رباعیات » رباعی شمارهٔ ۱۶۶,/khayyam/robaee/sh166,رباعی شمارهٔ ۱۶۶,علی قلندری,24152
1174,خیام » رباعیات » رباعی شمارهٔ ۵۶,/khayyam/robaee/sh56,رباعی شمارهٔ ۵۶,داوود ملک زاده,1506
1174,خیام » رباعیات » رباعی شمارهٔ ۵۶,/khayyam/robaee/sh56,رباعی شمارهٔ ۵۶,زهرا بهمنی,14876
